Word,Language
Come,it
dice,it
il,it
proverbio,it
tedesco,it
Die,de
Gedanken,de
sind,de
frei,de
ossia,it
i,it
pensieri,it
sono,it
liberi,it
quindi,it
non,it
dovremmo,it
mai,it
smettere,it
di,it
sognare,it
e,it
immaginare,it
Anche,it
se,it
le,it
sfide,it
sembrano,it
insormontabili,it
ricorda,it
le,it
parole,it
di,it
Friedrich,de
Schiller,de
Was,de
man,de
nicht,de
aufgibt,de
hat,de
man,de
nie,de
verloren,de
Der,de
Mensch,de
ist,de
was,de
er,de
isst,de
afferma,de
Ludwig,de
Feuerbach,de
sottolineando,it
l,it
importanza,it
di,it
una,it
dieta,it
equilibrata,it
per,it
la,it
nostra,it
salute,it
e,it
il,it
nostro,it
benessere,it
Wilhelm,de
Busch,de
afferma,it
che,it
Die,de
Zeit,de
ist,de
ein,de
guter,de
Arzt,de
aber,de
ein,de
schlechter,de
Kosmetiker,de
il,it
tempo,it
può,it
guarire,it
ma,it
può,it
anche,it
lasciare,it
segni,it
indelebili,it
Albert,de
Einstein,de
riguardo,it
alla,it
bomba,it
atomica,it
disse,it
Wenn,de
ich,de
die,de
Folgen,de
geahnt,de
hätte,de
wäre,de
ich,de
Uhrmacher,de
geworden,de
Schopenhauer,de
ci,it
ricorda,it
che,it
Jeder,de
Tag,de
ist,de
ein,de
kleines,de
Leben,de
ogni,it
giorno,it
è,it
una,it
piccola,it
vita,it
quindi,it
viviamola,it
al,it
meglio,it
Secondo,it
un,it
proverbio,it
tedesco,it
Ordnung,de
ist,de
das,de
halbe,de
Leben,de
l,it
ordine,it
è,it
la,it
metà,it
della,it
vita,it
quindi,it
organizzarsi,it
è,it
fondamentale,it
Nella,it
celebre,it
opera,it
di,it
Shakespeare,en
Amleto,it
si,it
interroga,it
To,en
be,en
or,en
not,en
to,en
be,en
that,en
is,en
the,en
question,en
essere,it
o,it
non,it
essere,it
questa,it
è,it
la,it
domanda,it
Groucho,de
Marx,de
gioca,it
con,it
le,it
parole,it
in,it
Time,en
flies,en
like,en
an,en
arrow,en
fruit,en
flies,en
like,en
a,en
banana,en
facendo,it
un,it
gioco,it
di,it
parole,it
tra,it
il,it
tempo,it
che,it
vola,it
e,it
le,it
mosche,it
della,it
frutta,it
John,en
Lennon,en
ci,it
ricorda,it
che,it
Life,en
is,en
what,en
happens,en
to,en
you,en
while,en
you,en
re,en
busy,en
making,en
other,en
plans,en
la,it
vita,it
è,it
ciò,it
che,it
ti,it
succede,it
mentre,it
sei,it
impegnato,it
a,it
fare,it
altri,it
progetti,it
Steve,en
Jobs,en
credeva,it
che,it
The,en
only,en
way,en
to,en
do,en
great,en
work,en
is,en
to,en
love,en
what,en
you,en
do,en
Martin,en
Luther,en
King,en
Jr,en
affermava,it
che,it
In,en
the,en
end,en
we,en
will,en
remember,en
not,en
the,en
words,en
of,en
our,en
enemies,en
but,en
the,en
silence,en
of,en
our,en
friends,en
alla,it
fine,it
ciò,it
che,it
ricorderemo,it
non,it
saranno,it
le,it
parole,it
dei,it
nostri,it
nemici,it
ma,it
il,it
silenzio,it
dei,it
nostri,it
amici,it
Lao,it
Tzu,it
ci,it
ricorda,it
che,it
A,en
journey,en
of,en
a,en
thousand,en
miles,en
begins,en
with,en
a,en
single,en
step,en
un,it
viaggio,it
di,it
mille,it
miglia,it
inizia,it
con,it
un,it
solo,it
passo,it
quindi,it
non,it
aver,it
paura,it
di,it
intraprendere,it
nuove,it
avventure,it
La,en
vie,en
est,en
un,en
long,en
fleuve,en
tranquille,en
afferma,it
Étienne,fr
Chatiliez,fr
paragonando,it
la,it
vita,it
a,it
un,it
lungo,it
fiume,it
tranquillo,it
con,it
alti,it
e,it
bassi,it
Voltaire,fr
ci,it
ricorda,it
che,it
Le,fr
mieux,fr
est,fr
l,fr
ennemi,fr
du,fr
bien,fr
il,it
meglio,it
è,it
nemico,it
del,it
bene,it
un,it
monito,it
contro,it
la,it
ricerca,it
ossessiva,it
della,it
perfezione,it
Il,it
motto,it
della,it
Repubblica,it
francese,it
Liberté,fr
égalité,fr
fraternité,fr
rappresenta,it
i,it
valori,it
di,it
libertà,it
uguaglianza,it
e,it
fraternità,it
che,it
dovrebbero,it
guidare,it
ogni,it
società,it
André,it
Breton,it
sostiene,it
che,it
L,fr
important,fr
c,fr
est,fr
d,fr
aimer,fr
l,it
importante,it
è,it
amare,it
un,it
promemoria,it
dell,it
importanza,it
dell,it
amore,it
nella,it
nostra,it
vita,it
Théophile,fr
Gautier,fr
afferma,it
che,it
L,fr
art,fr
pour,fr
l,fr
art,fr
l,it
arte,it
per,it
l,it
arte,it
sottolineando,it
il,it
valore,it
intrinseco,it
dell,it
espressione,it
artistica,it
Jean,fr
de,fr
La,fr
Fontaine,fr
ci,it
insegna,it
che,it
Rien,fr
ne,fr
sert,fr
de,fr
courir,fr
il,fr
faut,fr
partir,fr
à,fr
point,fr
non,it
serve,it
correre,it
bisogna,it
partire,it
al,it
momento,it
giusto,it
un,it
monito,it
sulla,it
pazienza,it
e,it
la,it
tempistica,it
