index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,chef,4,0.57,1.0,0.43,0.0,0.0,0.0,0.0,0.0
2,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,prepared,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,delicious,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,three,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,course,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,dinner,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,en,Expressions,en_Expressions,1,Bon appétit!,Bon,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,en,Expressions,en_Expressions,1,Bon appétit!,appétit,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",I,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",didn,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",t,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",get,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",the,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",promotion,9,0.14,0.0,0.0,0.0,0.0,1.0,0.86,0.0
16,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",but,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",c,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",est,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",la,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",vie,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,en,Expressions,en_Expressions,3,I'll keep working hard.,I,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,en,Expressions,en_Expressions,3,I'll keep working hard.,ll,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,en,Expressions,en_Expressions,3,I'll keep working hard.,keep,4,0.43,1.0,0.57,0.0,0.0,0.0,0.0,0.0
24,en,Expressions,en_Expressions,3,I'll keep working hard.,working,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,en,Expressions,en_Expressions,3,I'll keep working hard.,hard,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,Kindly,6,0.14,1.0,0.86,0.0,0.0,0.0,0.0,0.0
27,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,RSVP,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,by,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,Friday,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,if,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,you,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,will,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,be,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,attending,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,en,Expressions,en_Expressions,4,Kindly RSVP by Friday if you will be attending the event.,event,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",She,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",accidentally,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
39,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",wore,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",white,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",to,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",wedding,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",which,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",is,2,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0
46,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",faux,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",pas,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",many,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,en,Expressions,en_Expressions,5,"She accidentally wore white to a wedding, which is a faux pas in many cultures.",cultures,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",As,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",I,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",walked,6,0.71,1.0,0.29,0.0,0.0,0.0,0.0,0.0
55,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",into,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,en,Expressions,en_Expressions,6,"As I walked into the old house, I had a strong sense of déjà vu.",old,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
