index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,en,PopCulture,en_PopCulture,0,Escargot for dinner?,Escargot,8,0.0,0.86,0.0,0.0,0.0,0.0,1.0,0.14
1,en,PopCulture,en_PopCulture,0,Escargot for dinner?,for,3,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.14
2,en,PopCulture,en_PopCulture,0,Escargot for dinner?,dinner,6,0.0,0.86,1.0,0.0,0.0,0.0,0.0,0.14
3,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",Oui,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",s,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",il,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",vous,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,en,PopCulture,en_PopCulture,1,"Oui, s'il vous plaît!",plaît,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",FrenchFood,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",Gourmet,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",Le,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",weekend,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",is,2,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0
13,en,PopCulture,en_PopCulture,2,"#FrenchFood #Gourmet
Le weekend is here!",here,4,0.11,1.0,0.89,0.0,0.0,0.0,0.0,0.0
14,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,Time,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,for,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,some,4,0.44,0.0,0.0,0.0,0.0,1.0,0.56,0.0
17,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,joie,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,en,PopCulture,en_PopCulture,3,Time for some joie de vivre!,de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
