Word,Language
Edmund,de
Burke,de
sagte,de
einmal,de
The,en
only,en
thing,en
necessary,en
for,en
the,en
triumph,en
of,en
evil,en
is,en
for,en
good,en
men,en
to,en
do,en
nothing,en
Das,de
Einzige,de
was,de
nötig,de
ist,de
damit,de
das,de
Böse,de
triumphiert,de
ist,de
dass,de
gute,de
Menschen,de
nichts,de
tun,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
dass,de
es,de
wichtig,de
ist,de
gegen,de
das,de
Unrecht,de
einzustehen,de
und,de
aktiv,de
für,de
das,de
Gute,de
einzutreten,de
Karen,de
Kaiser,de
Clark,de
betonte,de
die,de
Bedeutung,de
von,de
Veränderung,de
und,de
Wachstum,de
mit,de
den,de
Worten,de
Life,en
is,en
change,en
growth,en
is,en
optional,en
Choose,en
wisely,en
Das,de
Leben,de
ist,de
Veränderung,de
Wachstum,de
ist,de
optional,de
Wähle,de
weise,de
Dieses,de
Zitat,de
ermutigt,de
uns,de
Veränderungen,de
als,de
Chance,de
zu,de
sehen,de
und,de
kluge,de
Entscheidungen,de
für,de
unser,de
persönliches,de
Wachstum,de
zu,de
treffen,de
Steve,en
Jobs,en
Mitbegründer,de
von,de
Apple,en
betonte,de
die,de
Bedeutung,de
von,de
Leidenschaft,de
in,de
unserer,de
Arbeit,de
mit,de
den,de
Worten,de
The,en
only,en
way,en
to,en
do,en
great,en
work,en
is,en
to,en
love,en
what,en
you,en
do,en
Der,de
einzige,de
Weg,de
um,de
großartige,de
Arbeit,de
zu,de
leisten,de
ist,de
das,de
zu,de
lieben,de
was,de
du,de
tust,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
dass,de
Leidenschaft,de
und,de
Begeisterung,de
uns,de
helfen,de
können,de
außergewöhnliche,de
Ergebnisse,de
zu,de
erzielen,de
Auch,de
die,de
französische,de
Sprache,de
bietet,de
inspirierende,de
Zitate,de
Émile,fr
Zola,fr
sagte,de
einmal,de
La,fr
vie,fr
est,fr
belle,fr
Das,de
Leben,de
ist,de
schön,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
das,de
Leben,de
zu,de
schätzen,de
und,de
die,de
Schönheit,de
in,de
den,de
kleinen,de
Dingen,de
des,de
Lebens,de
zu,de
erkennen,de
Honoré,fr
de,fr
Balzac,fr
betonte,de
die,de
Bedeutung,de
von,de
Liebe,de
und,de
Poesie,de
mit,de
den,de
Worten,de
L,fr
amour,fr
est,fr
la,fr
poésie,fr
des,fr
sens,fr
Die,de
Liebe,de
ist,de
die,de
Poesie,de
der,de
Sinne,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
dass,de
Liebe,de
und,de
Emotionen,de
uns,de
in,de
der,de
Welt,de
eine,de
tiefere,de
Bedeutung,de
geben,de
können,de
Der,de
französische,de
Schriftsteller,de
Victor,fr
Hugo,fr
betonte,de
die,de
Kraft,de
der,de
Träume,de
mit,de
den,de
Worten,de
On,fr
n,fr
est,fr
jamais,fr
si,fr
bien,fr
ailleurs,fr
que,fr
chez,fr
soi,fr
Man,de
ist,de
nie,de
so,de
gut,de
aufgehoben,de
wie,de
zu,de
Hause,de
Dieses,de
Zitat,de
ermutigt,de
uns,de
unseren,de
Träumen,de
zu,de
folgen,de
während,de
wir,de
uns,de
auch,de
an,de
unserem,de
Zuhause,de
und,de
den,de
Wurzeln,de
die,de
wir,de
dort,de
haben,de
erfreuen,de
Der,de
italienische,de
Dichter,de
Francesco,it
Petrarca,it
sagte,de
einmal,de
La,it
pazienza,it
vince,it
ogni,it
cosa,it
Geduld,de
überwindet,de
alles,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
dass,de
Geduld,de
eine,de
wichtige,de
Tugend,de
ist,de
die,de
uns,de
helfen,de
kann,de
Herausforderungen,de
zu,de
bewältigen,de
und,de
Schwierigkeiten,de
zu,de
überwinden,de
Die,de
italienische,de
Schriftstellerin,de
und,de
Journalistin,de
Oriana,it
Fallaci,it
betonte,de
die,de
Bedeutung,de
von,de
Mut,de
und,de
Standhaftigkeit,de
mit,de
den,de
Worten,de
Chi,it
si,it
arrende,it
è,it
vinto,it
Wer,de
sich,de
ergibt,de
ist,de
besiegt,de
Dieses,de
Zitat,de
erinnert,de
uns,de
daran,de
dass,de
Durchhaltevermögen,de
und,de
Mut,de
uns,de
helfen,de
können,de
auch,de
in,de
schwierigen,de
Zeiten,de
stark,de
zu,de
bleiben,de
und,de
Hindernisse,de
zu,de
überwinden,de
Der,de
italienische,de
Künstler,de
Leonardo,it
da,it
Vinci,it
betonte,de
die,de
Bedeutung,de
von,de
Einfachheit,de
und,de
Klarheit,de
mit,de
den,de
Worten,de
La,it
semplicità,it
è,it
la,it
sofisticazione,it
finale,it
Einfachheit,de
ist,de
die,de
höchste,de
Form,de
der,de
Raffinesse,fr
Dieses,de
Zitat,de
ermutigt,de
uns,de
inmitten,de
der,de
Komplexität,de
des,de
Lebens,de
nach,de
Einfachheit,de
und,de
Klarheit,de
zu,de
suchen,de
um,de
das,de
Wesentliche,de
zu,de
erkennen,de
