index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",La,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,La,fr
1,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",vie,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,vie,fr
2,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",est,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,est,fr
3,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",belle,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,belle,fr
4,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",as,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,as,en
5,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
6,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",French,6,0.86,1.0,0.14,0.0,0.0,0.0,0.0,0.0,French,en
7,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",say,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,say,en
8,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",meaning,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,meaning,en
9,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",life,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,life,en
10,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",is,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,is,en
11,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",beautiful,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,beautiful,en
12,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,This,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,This,en
13,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,sentiment,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sentiment,en
14,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,captures,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,captures,en
15,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
16,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,essence,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,essence,en
17,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,of,en
18,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,appreciating,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,appreciating,en
19,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
20,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,beauty,6,0.71,1.0,0.14,0.0,0.14,0.0,0.0,0.0,beauty,en
21,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,and,en
22,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,joy,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,joy,en
23,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,in,en
24,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,every,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,every,en
25,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,moment,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,moment,en
26,en,Quotations,en_Quotations,2,"As the famous French author Victor Hugo once wrote, ""Même la nuit la plus sombre prendra fin et le soleil se lèvera.""",As,2,1.0,0.14,0.0,0.0,0.0,0.86,0.0,0.0,As,en
27,en,Quotations,en_Quotations,2,"As the famous French author Victor Hugo once wrote, ""Même la nuit la plus sombre prendra fin et le soleil se lèvera.""",the,3,1.0,0.14,0.0,0.0,0.0,0.86,0.0,0.0,the,en
28,en,Quotations,en_Quotations,2,"As the famous French author Victor Hugo once wrote, ""Même la nuit la plus sombre prendra fin et le soleil se lèvera.""",famous,6,1.0,0.14,0.0,0.0,0.0,0.86,0.0,0.0,famous,en
29,en,Quotations,en_Quotations,2,"As the famous French author Victor Hugo once wrote, ""Même la nuit la plus sombre prendra fin et le soleil se lèvera.""",French,6,0.43,0.14,0.57,0.0,0.0,0.86,0.0,0.0,French,en
