Word,Language
Johann,fr
Wolfgang,de
von,de
Goethe,de
a,fr
dit,fr
Nichts,de
ist,de
schwerer,de
zu,de
ertragen,de
als,de
eine,de
Reihe,de
von,de
guten,de
Tagen,de
une,fr
citation,fr
qui,fr
souligne,fr
l,fr
importance,fr
de,fr
la,fr
persévérance,fr
et,fr
de,fr
la,fr
résilience,fr
Kurt,de
Marti,de
a,fr
écrit,fr
Wo,de
kämen,de
wir,de
hin,de
wenn,de
alle,de
sagten,de
wo,de
kämen,de
wir,de
hin,de
und,de
niemand,de
ginge,de
um,de
einmal,de
zu,de
schauen,de
wohin,de
man,de
käme,de
wenn,de
man,de
ginge,de
une,fr
citation,fr
qui,fr
nous,fr
invite,fr
à,fr
oser,fr
sortir,fr
de,fr
notre,fr
zone,fr
de,fr
confort,fr
Die,de
Tat,de
ist,de
alles,de
nichts,de
der,de
Ruhm,de
a,fr
dit,fr
Johann,de
Wolfgang,de
von,de
Goethe,de
soulignant,fr
ainsi,fr
l,fr
importance,fr
de,fr
l,fr
action,fr
plutôt,fr
que,fr
de,fr
la,fr
recherche,fr
de,fr
la,fr
reconnaissance,fr
ou,fr
du,fr
prestige,fr
Erich,de
Kästner,de
a,fr
écrit,fr
Es,de
gibt,de
nichts,de
Gutes,de
außer,de
man,de
tut,de
es,de
une,fr
citation,fr
qui,fr
nous,fr
rappelle,fr
que,fr
l,fr
action,fr
est,fr
essentielle,fr
pour,fr
réaliser,fr
de,fr
bonnes,fr
choses,fr
dans,fr
la,fr
vie,fr
Rosa,de
Luxemburg,de
a,fr
dit,fr
Freiheit,de
ist,de
immer,de
die,de
Freiheit,de
des,de
Andersdenkenden,de
soulignant,fr
l,fr
importance,fr
de,fr
respecter,fr
la,fr
liberté,fr
d,fr
expression,fr
et,fr
de,fr
pensée,fr
de,fr
tous,fr
Ein,de
Leben,de
ohne,de
Freude,de
ist,de
wie,de
eine,de
weite,de
Reise,de
ohne,de
Gasthaus,de
a,fr
écrit,fr
Demokrit,de
soulignant,fr
l,fr
importance,fr
de,fr
la,fr
joie,fr
et,fr
du,fr
bonheur,fr
dans,fr
notre,fr
vie,fr
La,it
dolcezza,it
della,it
vita,it
dipende,it
dalla,it
qualità,it
dei,it
nostri,it
pensieri,it
nous,fr
rappelle,fr
l,fr
importance,fr
de,fr
nos,fr
pensées,fr
pour,fr
notre,fr
bonheur,fr
La,it
bellezza,it
salverà,it
il,it
mondo,it
comme,fr
le,fr
disait,fr
Dostoevskij,fr
est,fr
une,fr
affirmation,fr
pleine,fr
d,fr
espoir,fr
sur,fr
le,fr
pouvoir,fr
de,fr
la,fr
beauté,fr
pour,fr
l,fr
humanité,fr
Lorenzo,it
de,it
Medici,it
disait,fr
Chi,it
vuol,it
esser,it
lieto,it
sia,it
di,it
doman,it
non,it
c,it
è,it
certezza,it
rappelant,fr
l,fr
importance,fr
de,fr
profiter,fr
de,fr
chaque,fr
jour,fr
de,fr
notre,fr
vie,fr
Fabrizio,it
Caramagna,it
disait,fr
Non,it
c,it
è,it
mai,it
tempo,it
basta,it
trovare,it
quello,it
giusto,it
soulignant,fr
que,fr
le,fr
temps,fr
est,fr
précieux,fr
et,fr
qu,fr
il,fr
faut,fr
le,fr
gérer,fr
avec,fr
soin,fr
Nessuna,it
pietà,it
per,it
chi,it
non,it
ha,it
pietà,it
disait,fr
Leonardo,it
da,it
Vinci,it
soulignant,fr
l,fr
importance,fr
de,fr
la,fr
compassion,fr
et,fr
de,fr
la,fr
bonté,fr
pour,fr
vivre,fr
ensemble,fr
harmonieusement,fr
Seneca,it
disait,fr
que,fr
Non,it
c,it
è,it
niente,it
di,it
più,it
difficile,it
da,it
imparare,it
che,it
l,it
arte,it
di,it
vivere,it
rappelant,fr
que,fr
vivre,fr
est,fr
un,fr
art,fr
qui,fr
demande,fr
de,fr
la,fr
patience,fr
et,fr
de,fr
la,fr
pratique,fr
Il,it
più,it
grande,it
dei,it
piaceri,it
è,it
la,it
sicurezza,it
disait,fr
Sallustio,it
rappelant,fr
que,fr
la,fr
sécurité,fr
est,fr
une,fr
condition,fr
essentielle,fr
pour,fr
notre,fr
bien,fr
être,fr
To,en
be,en
or,en
not,en
to,en
be,en
that,en
is,en
the,en
question,en
est,fr
la,fr
citations,fr
la,fr
plus,fr
célèbres,fr
de,fr
Shakespeare,en
I,en
have,en
a,en
dream,en
est,fr
le,fr
discours,fr
emblématique,fr
de,fr
Martin,en
Luther,en
King,en
Jr,en
prononcé,fr
en,fr
Dans,fr
Le,fr
Seigneur,fr
des,fr
anneaux,fr
J,en
R,en
R,en
Tolkien,en
écrit,fr
All,en
we,en
have,en
to,en
decide,en
is,en
what,en
to,en
do,en
with,en
the,en
time,en
that,en
is,en
given,en
us,en
If,en
you,en
want,en
to,en
go,en
fast,en
go,en
alone,en
If,en
you,en
want,en
to,en
go,en
far,en
go,en
together,en
est,fr
un,fr
proverbe,fr
africain,fr
Jimmy,en
Dean,en
I,en
can,en
t,en
change,en
the,en
direction,en
of,en
the,en
wind,en
but,en
I,en
can,en
adjust,en
my,en
sails,en
to,en
always,en
reach,en
my,en
destination,fr
Dans,fr
Forrest,en
Gump,en
Forrest,en
dit,fr
Life,en
is,en
like,en
a,en
box,en
of,en
chocolates,en
You,en
never,en
know,en
what,en
you,en
re,en
going,en
to,en
get,en
Albert,de
Einstein,de
a,fr
dit,fr
A,en
person,en
who,en
never,en
made,en
a,en
mistake,en
never,en
tried,en
anything,en
new,en
Nelson,en
Mandela,en
a,fr
dit,fr
It,en
always,en
seems,en
impossible,en
until,en
it,en
s,en
done,en
