Word,Language
The,en
chef,en
prepared,en
a,en
delicious,en
three,en
course,en
dinner,en
Bon,fr
appétit,fr
I,en
didn,en
t,en
get,en
the,en
promotion,en
but,en
c,fr
est,fr
la,fr
vie,fr
I,en
ll,en
keep,en
working,en
hard,en
Kindly,en
RSVP,fr
by,en
Friday,en
if,en
you,en
will,en
be,en
attending,en
the,en
event,en
She,en
accidentally,en
wore,en
white,en
to,en
a,en
wedding,en
which,en
is,en
a,en
faux,fr
pas,fr
in,en
many,en
cultures,en
As,en
I,en
walked,en
into,en
the,en
old,en
house,en
I,en
had,en
a,en
strong,en
sense,en
of,en
déjà,fr
vu,fr
She,en
approached,en
every,en
day,en
with,en
a,en
sense,en
of,en
joie,fr
de,fr
vivre,fr
making,en
the,en
most,en
of,en
every,en
moment,en
The,en
package,en
is,en
en,fr
route,fr
and,en
should,en
arrive,en
tomorrow,en
I,en
have,en
a,en
rendez,fr
vous,fr
with,en
my,en
colleague,en
at,en
the,en
coffee,en
shop,en
this,en
afternoon,en
I,en
saw,en
someone,en
at,en
the,en
party,en
who,en
looked,en
exactly,en
like,en
my,en
friend,en
a,en
true,en
doppelgänger,de
She,en
always,en
had,en
a,en
sense,en
of,en
wanderlust,de
constantly,en
planning,en
her,en
next,en
adventure,en
He,en
felt,en
a,en
pang,en
of,en
schadenfreude,de
when,en
he,en
saw,en
his,en
rival,en
fail,en
The,en
fashion,en
of,en
the,en
s,en
perfectly,en
captured,en
the,en
zeitgeist,de
of,en
the,en
era,en
I,en
m,en
about,en
to,en
sneeze,en
Achoo,en
Gesundheit,de
The,en
army,en
launched,en
a,en
blitzkrieg,de
against,en
the,en
enemy,en
s,en
defenses,en
She,en
enrolled,en
her,en
toddler,de
in,en
a,en
local,en
kindergarten,de
program,en
He,en
experienced,en
a,en
sense,en
of,en
existential,en
angst,de
as,en
he,en
pondered,en
the,en
meaning,en
of,en
life,en
After,en
working,en
hard,en
for,en
years,en
he,en
decided,en
to,en
retire,en
and,en
embrace,en
the,en
dolce,it
vita,it
in,en
Italy,en
She,en
always,en
dresses,en
impeccably,en
wanting,en
to,en
maintain,en
a,en
bella,it
figura,it
in,en
any,en
situation,en
The,en
lead,en
actress,en
was,en
acting,en
like,en
a,en
prima,it
donna,it
making,en
outrageous,en
demands,en
on,en
set,en
He,en
prefers,en
his,en
spaghetti,en
cooked,en
al,it
dente,it
with,en
a,en
slight,en
bite,en
to,en
it,en
She,en
greeted,en
her,en
friend,en
with,en
a,en
warm,en
ciao,it
as,en
they,en
met,en
at,en
the,en
café,fr
He,en
is,en
a,en
maestro,it
of,en
classical,en
music,en
renowned,en
for,en
his,en
conducting,en
skills,en
The,en
park,en
was,en
filled,en
with,en
happy,en
bambinos,it
playing,en
on,en
the,en
swings,en
and,en
slides,en
Can,en
you,en
pass,en
the,en
salt,en
Prego,it
