Word,Language
No,en
problem,en
ich,de
kann,de
das,de
erledigen,de
Das,de
neue,de
Auto,de
von,de
Lisa,de
ist,de
echt,de
cool,en
Bye,en
bye,en
bis,de
später,de
Okay,de
wir,de
treffen,de
uns,de
um,de
acht,de
Uhr,de
Sorry,en
dass,de
ich,de
zu,de
spät,de
bin,de
Vielen,de
Dank,de
für,de
das,de
Geschenk,de
Viel,de
Glück,de
bei,de
deinem,de
Vorstellungsgespräch,de
Take,en
it,en
easy,en
und,de
entspann,de
dich,de
Break,en
a,en
leg,en
bei,de
deinem,de
Auftritt,de
heute,de
Abend,de
Kannst,de
du,de
bitte,de
auf,de
meine,de
Tasche,de
aufpassen,de
während,de
ich,de
kurz,de
weg,de
bin,de
Au,fr
revoir,fr
bis,de
später,de
Das,de
war,de
eine,de
soirée,fr
très,fr
chic,fr
gestern,de
Abend,de
Merci,fr
beaucoup,fr
für,de
deine,de
Hilfe,de
C,fr
est,fr
la,fr
vie,fr
manchmal,de
muss,de
man,de
Kompromisse,de
eingehen,de
Bitte,de
mon,fr
ami,fr
mach,de
dir,de
keine,de
Sorgen,de
Das,de
Essen,de
im,de
französischen,de
Bistro,fr
war,de
délicieux,fr
Chapeau,fr
Du,de
hast,de
das,de
wirklich,de
gut,de
gemacht,de
Pardon,fr
ich,de
habe,de
mich,de
vertan,de
Vive,fr
la,fr
différence,fr
Jeder,de
ist,de
einzigartig,de
Fait,fr
accompli,fr
es,de
ist,de
bereits,de
erledigt,de
Ciao,it
wie,de
geht,de
s,de
Grazie,it
mille,it
für,de
deine,de
Hilfe,de
La,it
dolce,it
vita,it
das,de
süße,de
Leben,de
in,de
Italien,de
ist,de
wirklich,de
verlockend,de
Mi,de
dispiace,de
dass,de
ich,de
zu,de
spät,de
komme,de
Per,de
favore,de
kannst,de
du,de
mir,de
den,de
Zucker,de
geben,de
In,it
bocca,it
al,it
lupo,it
für,de
deine,de
Prüfung,de
Va,it
bene,it
lass,de
uns,de
das,de
machen,de
Famiglia,it
ist,de
das,de
Wichtigste,de
im,de
Leben,de
Mamma,it
mia,it
das,de
Essen,de
in,de
dem,de
italienischen,de
Restaurant,de
war,de
fantastico,it
A,it
proposito,it
hast,de
du,de
die,de
neueste,de
Mode,de
aus,de
Italien,de
gesehen,de
