Word,Language
Ho,it
perso,it
il,it
mio,it
lavoro,it
ma,it
cerco,it
di,it
mantenere,it
la,it
calma,it
e,it
mi,it
ripeto,it
mieux,fr
vaut,fr
tard,fr
que,fr
jamais,fr
per,it
avere,it
speranza,it
nel,it
futuro,it
Mia,it
sorella,it
e,it
io,it
siamo,it
come,it
comme,fr
chien,fr
et,fr
chat,fr
ma,it
sappiamo,it
che,it
alla,it
fine,it
il,it
nostro,it
amore,it
familiare,it
è,it
più,it
forte,it
delle,it
nostre,it
divergenze,it
Ho,it
fatto,it
una,it
gran,it
fatica,it
a,it
superare,it
l,it
esame,it
ma,it
sapevo,it
che,it
qui,fr
se,fr
ressemble,fr
s,fr
assemble,fr
e,it
ho,it
cercato,it
di,it
studiare,it
con,it
altri,it
studenti,it
La,it
mia,it
migliore,it
amica,it
ha,it
sempre,it
avuto,it
un,it
ottimismo,it
contagioso,it
e,it
mi,it
ripete,it
spesso,it
c,it
est,it
la,fr
vie,fr
quando,it
affrontiamo,it
difficoltà,it
Quando,it
mia,it
madre,it
ha,it
scoperto,it
che,it
avevo,it
preso,it
una,it
multa,it
mi,it
ha,it
detto,it
l,fr
habit,fr
ne,fr
fait,fr
pas,fr
le,fr
moine,fr
e,it
che,it
non,it
dovrei,it
giudicare,it
le,it
persone,it
dalle,it
loro,it
apparenze,it
Mio,it
padre,it
mi,it
ha,it
sempre,it
detto,it
mieux,fr
vaut,fr
prévenir,fr
que,fr
guérir,fr
e,it
mi,it
ha,it
insegnato,it
l,it
importanza,it
di,it
essere,it
prudente,it
Mio,it
fratello,it
ha,it
una,it
personalità,it
difficile,it
ma,it
mi,it
ripeto,it
sempre,it
qui,fr
se,fr
ressemble,fr
s,fr
assemble,fr
per,it
cercare,it
di,it
trovare,it
un,it
terreno,it
comune,it
Ho,it
deciso,it
di,it
seguire,it
il,it
mio,it
sogno,it
di,it
aprire,it
un,it
impresa,it
perché,it
so,it
che,it
qui,fr
ne,fr
tente,fr
rien,fr
n,fr
a,fr
rien,fr
Mi,it
ha,it
preso,it
in,it
giro,it
dicendo,it
che,it
mi,it
avrebbe,it
prestato,it
i,it
soldi,it
ma,it
poi,it
ha,it
detto,it
Ich,de
verstehe,de
nur,de
Bahnhof,de
e,it
non,it
mi,it
ha,it
dato,it
nulla,it
Ho,it
perso,it
la,it
partita,it
ma,it
non,it
mi,it
importa,it
das,de
ist,de
mir,de
Wurst,de
Ho,it
fatto,it
una,it
figura,it
ridicola,it
davanti,it
a,it
tutti,it
ho,it
avuto,it
un,it
vero,it
Brett,de
vor,de
dem,de
Kopf,de
Il,it
mio,it
amico,it
mi,it
ha,it
raccontato,it
una,it
bugia,it
ma,it
l,it
ho,it
subito,it
scoperta,it
er,de
hat,de
mir,de
einen,de
Bären,de
aufgebunden,de
La,it
mia,it
amica,it
non,it
ha,it
voluto,it
ascoltare,it
i,it
miei,it
consigli,it
e,it
adesso,it
ha,it
fallito,it
l,it
esame,it
sie,de
hat,de
den,de
Nagel,de
auf,de
den,de
Kopf,de
nicht,de
getroffen,de
Il,it
mio,it
vicino,it
di,it
casa,it
è,it
molto,it
antipatico,it
sembra,it
che,it
voglia,it
mettermi,it
Steine,de
in,de
den,de
Weg,de
Mio,it
figlio,it
ha,it
litigato,it
con,it
il,it
suo,it
amico,it
e,it
non,it
vuole,it
più,it
parlargli,it
sembra,it
che,it
sie,de
müssen,de
die,de
Suppe,de
auslöffeln,de
Mia,it
madre,it
ha,it
buttato,it
via,it
la,it
mia,it
vecchia,it
maglietta,it
mentre,it
faceva,it
pulizia,it
sembra,it
che,it
abbia,it
das,de
Kind,de
mit,de
dem,de
Bade,de
ausgeschüttet,de
Quando,it
ho,it
perso,it
il,it
mio,it
lavoro,it
ho,it
capito,it
che,it
every,it
cloud,it
has,it
a,it
silver,en
lining,en
ho,it
trovato,it
un,it
opportunità,it
migliore,it
Il,it
mio,it
capo,it
mi,it
ha,it
detto,it
break,en
a,en
leg,en
prima,it
della,it
mia,it
presentazione,it
per,it
augurarmi,it
buona,it
fortuna,it
Abbiamo,it
deciso,it
di,it
dare,it
tempo,it
al,it
tempo,it
perché,it
Rome,en
wasn,en
t,en
built,en
in,en
a,en
day,en
e,it
sappiamo,it
che,it
le,it
cose,it
migliori,it
richiedono,it
pazienza,it
Quando,it
visitiamo,it
un,it
nuovo,it
paese,it
cerchiamo,it
sempre,it
di,it
seguire,it
il,it
motto,it
when,en
in,en
Rome,en
do,en
as,en
the,en
Romans,en
do,en
e,it
adattarci,it
alle,it
usanze,it
locali,it
Nonostante,it
le,it
apparenze,it
ho,it
imparato,it
che,it
you,en
can,en
t,en
judge,en
a,en
book,en
by,en
its,en
cover,en
e,it
ho,it
scoperto,it
che,it
Marco,it
è,it
una,it
persona,it
gentile,it
e,it
sensibile,it
Ho,it
imparato,it
a,it
prendere,it
l,it
iniziativa,it
perché,it
the,en
early,en
bird,en
catches,en
the,en
worm,en
e,it
voglio,it
cogliere,it
le,it
opportunità,it
prima,it
degli,it
altri,it
Nel,it
mio,it
nuovo,it
lavoro,it
ho,it
scoperto,it
che,it
practice,en
makes,en
perfect,en
e,it
con,it
la,it
pratica,it
costante,it
sono,it
migliorato,it
notevolmente,it
