index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",As,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",I,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",leisurely,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",wandered,8,0.29,1.0,0.71,0.0,0.0,0.0,0.0,0.0
4,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",through,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",hallowed,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",halls,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",Louvre,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",my,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",eyes,4,0.14,1.0,0.0,0.0,0.86,0.0,0.0,0.0
13,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",were,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",entranced,9,0.0,1.0,0.0,0.0,0.86,0.0,0.14,0.0
15,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",by,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",resplendent,11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",tableau,7,0.57,1.0,0.0,0.0,0.43,0.0,0.0,0.0
19,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",vivant,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",that,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",unfolded,8,0.29,1.0,0.71,0.0,0.0,0.0,0.0,0.0
22,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",before,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",me,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",masterful,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",chiaroscuro,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
27,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",technique,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",employed,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",by,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",renowned,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",Italian,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",artist,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",Caravaggio,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",his,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",iconic,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",work,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",La,2,0.0,1.0,0.0,0.0,0.87,0.0,0.13,0.0
40,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",Mort,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",de,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",Marat,5,0.34,1.0,0.0,0.0,0.0,0.0,0.66,0.0
43,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",left,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
44,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",me,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
45,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,en,ArtAndLitterature,en_ArtAndLitterature,1,"The masterful chiaroscuro technique employed by the renowned Italian artist Caravaggio in his iconic work ""La Mort de Marat"" left me in awe.",awe,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",interplay,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",light,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",shadow,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",known,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",as,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",sfumato,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",in,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",Italian,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
58,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",imbued,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,en,ArtAndLitterature,en_ArtAndLitterature,2,"The interplay of light and shadow, known as sfumato in Italian, imbued the painting with a sense of depth and emotion that was simply breathtaking.",painting,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
