index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Johann,6,0.43,0.0,0.57,0.29,0.0,0.71,0.0,0.0
1,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Wolfgang,8,0.14,0.0,0.86,0.29,0.0,0.71,0.0,0.0
2,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",von,3,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
3,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Goethe,6,1.0,0.0,0.0,0.29,0.0,0.71,0.0,0.0
4,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",a,1,1.0,0.0,0.0,0.29,0.0,0.71,0.0,0.0
5,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",dit,3,0.0,0.0,0.0,0.29,0.0,0.71,1.0,0.0
6,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Nichts,6,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
7,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",ist,3,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
8,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",schwerer,8,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
9,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",zu,2,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
10,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",ertragen,8,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
11,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",als,3,1.0,0.0,0.0,0.29,0.0,0.71,0.0,0.0
12,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",eine,4,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
13,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Reihe,5,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
14,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",von,3,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
15,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",guten,5,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
16,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",Tagen,5,0.0,0.0,1.0,0.29,0.0,0.71,0.0,0.0
17,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",une,3,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
18,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",citation,8,0.0,0.0,0.0,0.29,0.0,0.71,1.0,0.0
19,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",qui,3,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
20,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",souligne,8,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
21,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",l,1,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
22,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",importance,10,0.0,0.0,0.0,0.29,0.0,0.71,1.0,0.0
23,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",de,2,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
24,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",la,2,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
25,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",persévérance,12,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
26,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",et,2,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
27,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",de,2,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
28,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",la,2,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
29,fr,Quotations,fr_Quotations,0,"Johann Wolfgang von Goethe a dit : ""Nichts ist schwerer zu ertragen, als eine Reihe von guten Tagen"", une citation qui souligne l'importance de la persévérance et de la résilience.",résilience,10,0.0,0.0,0.0,0.29,1.0,0.71,0.0,0.0
30,fr,Quotations,fr_Quotations,1,"Kurt Marti a écrit : ""Wo kämen wir hin, wenn alle sagten, wo kämen wir hin, und niemand ginge, um einmal zu schauen, wohin man käme, wenn man ginge"", une citation qui nous invite à oser sortir de notre zone de confort.",Kurt,4,0.0,0.0,1.0,0.57,0.0,0.43,0.0,0.0
31,fr,Quotations,fr_Quotations,1,"Kurt Marti a écrit : ""Wo kämen wir hin, wenn alle sagten, wo kämen wir hin, und niemand ginge, um einmal zu schauen, wohin man käme, wenn man ginge"", une citation qui nous invite à oser sortir de notre zone de confort.",Marti,5,0.0,0.0,0.0,0.57,0.0,0.43,1.0,0.0
32,fr,Quotations,fr_Quotations,1,"Kurt Marti a écrit : ""Wo kämen wir hin, wenn alle sagten, wo kämen wir hin, und niemand ginge, um einmal zu schauen, wohin man käme, wenn man ginge"", une citation qui nous invite à oser sortir de notre zone de confort.",a,1,1.0,0.0,0.0,0.57,0.0,0.43,0.0,0.0
33,fr,Quotations,fr_Quotations,1,"Kurt Marti a écrit : ""Wo kämen wir hin, wenn alle sagten, wo kämen wir hin, und niemand ginge, um einmal zu schauen, wohin man käme, wenn man ginge"", une citation qui nous invite à oser sortir de notre zone de confort.",écrit,5,0.0,0.0,0.0,0.57,1.0,0.43,0.0,0.0
