index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",La,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",vie,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",est,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",belle,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",as,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",French,6,0.86,1.0,0.14,0.0,0.0,0.0,0.0,0.0
7,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",say,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",meaning,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",life,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",is,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,en,Quotations,en_Quotations,0,"""La vie est belle,"" as the French say, meaning ""life is beautiful.""",beautiful,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,This,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,sentiment,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,captures,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
15,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,essence,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,appreciating,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,beauty,6,0.71,1.0,0.14,0.0,0.14,0.0,0.0,0.0
21,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,en,Quotations,en_Quotations,1,This sentiment captures the essence of appreciating the beauty and joy in every moment.,joy,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
