index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,Scientists,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Scientists,en
1,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,conducted,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,conducted,en
2,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
3,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,study,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,study,en
4,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,to,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,to,en
5,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,determine,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,determine,en
6,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
7,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,fr
8,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,priori,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,priori,fr
9,en,TechnologyAndScience,en_TechnologyAndScience,0,Scientists conducted a study to determine the a priori and a posteriori effects of a new drug on patients with a particular medical condition.,and,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,and,en
