index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,La,2,0.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0,La,fr
1,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,technologie,11,0.0,0.0,0.29,0.0,0.14,1.0,0.57,0.0,technologie,fr
2,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,a,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a,fr
3,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,toujours,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,toujours,fr
4,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,été,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,été,fr
5,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,un,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,un,fr
6,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,domaine,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,domaine,fr
7,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,où,2,0.0,0.0,0.0,0.0,0.86,1.0,0.14,0.0,où,fr
8,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,les,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,les,fr
9,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,mots,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,mots,fr
10,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,étrangers,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,étrangers,fr
11,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,sont,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sont,fr
12,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,couramment,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,couramment,fr
13,fr,TechnologyAndScience,fr_TechnologyAndScience,0,La technologie a toujours été un domaine où les mots étrangers sont couramment utilisés.,utilisés,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,utilisés,fr
14,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,L,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,L,fr
15,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,utilisation,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,utilisation,fr
16,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,d,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,d,fr
17,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,un,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,un,fr
18,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,ordinateur,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ordinateur,fr
19,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,est,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,est,fr
20,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,aujourd,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,aujourd,fr
21,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,hui,3,0.57,0.0,0.0,0.0,0.43,1.0,0.0,0.0,hui,fr
22,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,presque,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,presque,fr
23,fr,TechnologyAndScience,fr_TechnologyAndScience,1,L'utilisation d'un ordinateur est aujourd'hui presque ubiquitaire.,ubiquitaire,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ubiquitaire,fr
24,fr,TechnologyAndScience,fr_TechnologyAndScience,2,"On parle souvent de ""hardware"" pour désigner les composants matériels.",On,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,On,fr
25,fr,TechnologyAndScience,fr_TechnologyAndScience,2,"On parle souvent de ""hardware"" pour désigner les composants matériels.",parle,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,parle,fr
26,fr,TechnologyAndScience,fr_TechnologyAndScience,2,"On parle souvent de ""hardware"" pour désigner les composants matériels.",souvent,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,souvent,fr
27,fr,TechnologyAndScience,fr_TechnologyAndScience,2,"On parle souvent de ""hardware"" pour désigner les composants matériels.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
