index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,chef,4,0.43,1.0,0.57,0.0,0.0,0.0,0.0,0.0
2,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,prepared,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,delicious,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,amuse,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,bouche,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,to,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,start,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,en,Jargon,en_Jargon,0,The chef prepared a delicious amuse-bouche to start the meal.,meal,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,She,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,wore,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,chic,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,outfit,6,0.71,1.0,0.0,0.0,0.29,0.0,0.0,0.0
16,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,with,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,en,Jargon,en_Jargon,1,She wore a chic outfit with a touch of je ne sais quoi.,touch,5,0.71,1.0,0.0,0.0,0.29,0.0,0.0,0.0
