index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,The,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,The,en
1,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,chef,4,0.57,1.0,0.43,0.0,0.0,0.0,0.0,0.0,chef,en
2,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,prepared,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,prepared,en
3,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a,en
4,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,delicious,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,delicious,en
5,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,three,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,three,en
6,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,course,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,course,en
7,en,Expressions,en_Expressions,0,The chef prepared a delicious three-course dinner.,dinner,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,dinner,en
8,en,Expressions,en_Expressions,1,Bon appétit!,Bon,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bon,fr
9,en,Expressions,en_Expressions,1,Bon appétit!,appétit,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,appétit,fr
10,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",I,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,I,en
11,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",didn,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,didn,en
12,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",t,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,t,en
13,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",get,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,get,en
14,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",the,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,the,en
15,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",promotion,9,0.14,0.0,0.0,0.0,0.0,1.0,0.86,0.0,promotion,en
16,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",but,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,but,en
17,en,Expressions,en_Expressions,2,"I didn't get the promotion, but c'est la vie.",c,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,c,fr
