Word,Language
Commençons,fr
par,fr
une,fr
expression,fr
française,fr
bien,fr
connue,fr
Il,fr
ne,fr
faut,fr
pas,fr
vendre,fr
la,fr
peau,fr
de,fr
l,fr
ours,fr
avant,fr
de,fr
l,fr
avoir,fr
tué,fr
Cette,fr
expression,fr
signifie,fr
qu,fr
il,fr
ne,fr
faut,fr
pas,fr
célébrer,fr
une,fr
victoire,fr
trop,fr
tôt,fr
car,fr
il,fr
peut,fr
encore,fr
y,fr
avoir,fr
des,fr
obstacles,fr
à,fr
surmonter,fr
En,fr
anglais,fr
on,fr
trouve,fr
une,fr
expression,fr
similaire,fr
Don,en
t,en
count,en
your,en
chickens,en
before,en
they,en
re,en
hatched,en
Ne,fr
compte,fr
pas,fr
tes,fr
poulets,fr
avant,fr
qu,fr
ils,fr
soient,fr
éclos,fr
En,fr
Allemagne,fr
on,fr
trouve,fr
une,fr
expression,fr
amusante,fr
Das,de
ist,de
nicht,de
mein,de
Bier,fr
Ce,fr
n,fr
est,fr
pas,fr
ma,fr
bière,fr
Cette,fr
expression,fr
signifie,fr
que,fr
quelque,fr
chose,fr
ne,fr
vous,fr
concerne,fr
pas,fr
ou,fr
ne,fr
vous,fr
intéresse,fr
pas,fr
En,fr
français,fr
on,fr
dirait,fr
plutôt,fr
Ce,fr
n,fr
est,fr
pas,fr
mon,fr
problème,fr
ou,fr
Ce,fr
n,fr
est,fr
pas,fr
mon,fr
affaire,fr
En,fr
Italie,fr
une,fr
expression,fr
courante,fr
est,fr
In,it
bocca,it
al,it
lupo,it
Dans,fr
la,fr
bouche,fr
du,fr
loup,fr
qui,fr
sert,fr
à,fr
souhaiter,fr
bonne,fr
chance,fr
à,fr
quelqu,fr
un,fr
de,fr
la,fr
même,fr
manière,fr
que,fr
l,fr
expression,fr
anglaise,fr
Break,en
a,en
leg,en
Casse,fr
une,fr
jambe,fr
En,fr
français,fr
on,fr
dirait,fr
simplement,fr
Bonne,fr
chance,fr
Un,fr
autre,fr
exemple,fr
d,fr
expression,fr
française,fr
est,fr
Avoir,fr
un,fr
chat,fr
dans,fr
la,fr
gorge,fr
qui,fr
signifie,fr
avoir,fr
du,fr
mal,fr
à,fr
parler,fr
comme,fr
si,fr
quelque,fr
chose,fr
bloquait,fr
la,fr
gorge,fr
En,fr
anglais,fr
on,fr
dit,fr
To,en
have,en
a,en
frog,en
in,en
one,en
s,en
throat,en
Avoir,fr
une,fr
grenouille,fr
dans,fr
la,fr
gorge,fr
tandis,fr
qu,fr
en,fr
allemand,fr
l,fr
expression,fr
est,fr
Einen,de
Frosch,de
im,de
Hals,de
haben,de
Avoir,fr
un,fr
crapaud,fr
dans,fr
la,fr
gorge,fr
Les,fr
italiens,fr
quant,fr
à,fr
eux,fr
disent,fr
Avere,it
un,it
nodo,it
alla,it
gola,it
Avoir,fr
un,fr
nœud,fr
dans,fr
la,fr
gorge,fr
Les,fr
expressions,fr
peuvent,fr
aussi,fr
être,fr
très,fr
différentes,fr
d,fr
une,fr
langue,fr
à,fr
l,fr
autre,fr
même,fr
si,fr
elles,fr
ont,fr
le,fr
même,fr
sens,fr
Par,fr
exemple,fr
en,fr
anglais,fr
on,fr
dit,fr
To,en
kill,en
two,en
birds,en
with,en
one,en
stone,en
Tuer,fr
deux,fr
oiseaux,fr
avec,fr
une,fr
pierre,fr
pour,fr
signifier,fr
accomplir,fr
deux,fr
choses,fr
en,fr
même,fr
temps,fr
En,fr
français,fr
on,fr
dit,fr
Faire,fr
d,fr
une,fr
pierre,fr
deux,fr
coups,fr
tandis,fr
qu,fr
en,fr
allemand,fr
l,fr
expression,fr
est,fr
Zwei,de
Fliegen,de
mit,de
einer,de
Klappe,de
schlagen,de
Tuer,fr
deux,fr
mouches,fr
avec,fr
une,fr
tape,fr
et,fr
en,fr
italien,fr
Prendere,it
due,it
piccioni,it
con,it
una,it
fava,it
Attraper,fr
deux,fr
pigeons,fr
avec,fr
une,fr
fève,fr
Il,fr
est,fr
intéressant,fr
de,fr
noter,fr
que,fr
certaines,fr
expressions,fr
peuvent,fr
être,fr
littéralement,fr
traduites,fr
d,fr
une,fr
langue,fr
à,fr
l,fr
autre,fr
sans,fr
perdre,fr
leur,fr
sens,fr
Par,fr
exemple,fr
l,fr
expression,fr
anglaise,fr
To,en
be,en
caught,en
red,en
handed,en
Être,fr
pris,fr
la,fr
main,fr
dans,fr
le,fr
sac,fr
se,fr
traduit,fr
en,fr
français,fr
par,fr
Être,fr
pris,fr
la,fr
main,fr
dans,fr
le,fr
sac,fr
en,fr
allemand,fr
par,fr
Auf,de
frischer,de
Tat,de
ertappt,de
werden,de
Être,fr
pris,fr
en,fr
flagrant,fr
délit,fr
et,fr
en,fr
italien,fr
par,fr
Essere,it
preso,it
con,it
le,it
mani,it
nel,it
sacco,it
Être,fr
pris,fr
avec,fr
les,fr
mains,fr
dans,fr
le,fr
sac,fr
