index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",As,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,As,en
1,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",I,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I,en
2,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",leisurely,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,leisurely,en
3,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",wandered,8,0.29,1.0,0.71,0.0,0.0,0.0,0.0,0.0,wandered,en
4,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",through,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,through,en
5,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
6,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",hallowed,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hallowed,en
7,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",halls,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,halls,en
8,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",of,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,of,en
9,en,ArtAndLitterature,en_ArtAndLitterature,0,"As I leisurely wandered through the hallowed halls of the Louvre, my eyes were entranced by the resplendent tableau vivant that unfolded before me.",the,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the,en
