index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Start,5,0.0,0.57,1.0,0.0,0.0,0.0,0.0,0.43,Start,en
1,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,at,2,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.43,at,en
2,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Rome,4,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,Rome,en
3,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Fiumicino,9,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,Fiumicino,it
4,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Airport,7,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.43,Airport,en
5,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,and,3,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.43,and,en
6,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,head,4,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.43,head,en
7,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,towards,7,1.0,0.57,0.0,0.0,0.0,0.0,0.0,0.43,towards,en
8,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Via,3,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,Via,it
9,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,dell,4,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,dell,it
10,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Aeroporto,9,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,Aeroporto,it
11,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,di,2,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,di,it
12,en,Navigation,en_Navigation,0,Start at Rome Fiumicino Airport and head towards Via dell'Aeroporto di Fiumicino.,Fiumicino,9,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.43,Fiumicino,it
13,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,Turn,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Turn,en
14,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,left,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,left,en
15,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,onto,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,onto,en
16,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,Via,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Via,it
17,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,dell,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dell,it
18,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,Aeroporto,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Aeroporto,it
19,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,di,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,di,it
20,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,Fiumicino,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Fiumicino,it
21,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,and,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,and,en
22,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,continue,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,continue,en
23,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,straight,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,straight,en
24,en,Navigation,en_Navigation,1,Turn left onto Via dell' Aeroporto di Fiumicino and continue straight until you reach Via dell' Aeroporto di Fiumicino/Via Portuense/SS8.,until,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,until,en
